cohort,mortality_available,standardization,state_definition,state,n,percent,population
charls,True,wave,legacy,functional_only,3905,5.670844164331044,five_state_including_validated_death
charls,True,wave,legacy,joint,4257,6.182018849566518,five_state_including_validated_death
charls,True,wave,legacy,unimpaired,41845,60.76734290817734,five_state_including_validated_death
elsa,False,wave,legacy,cognitive_only,15398,18.051159410095895,four_state_mortality_endpoint_unavailable
elsa,False,wave,legacy,functional_only,7309,8.568380577243207,four_state_mortality_endpoint_unavailable
elsa,False,wave,legacy,joint,5620,6.588356662211906,four_state_mortality_endpoint_unavailable
elsa,False,wave,legacy,unimpaired,56975,66.792103350449,four_state_mortality_endpoint_unavailable
hrs,True,wave,legacy,cognitive_only,43256,22.213663231087626,five_state_including_validated_death
hrs,True,wave,legacy,death,13225,6.791559465302706,five_state_including_validated_death
hrs,True,wave,legacy,functional_only,9579,4.9191945646982695,five_state_including_validated_death
hrs,True,wave,legacy,joint,12402,6.3689164830763065,five_state_including_validated_death
hrs,True,wave,legacy,unimpaired,116265,59.706666255835096,five_state_including_validated_death
klosa,True,wave,legacy,cognitive_only,6839,18.230527269819266,five_state_including_validated_death
klosa,True,wave,legacy,death,1676,4.467665404915498,five_state_including_validated_death
klosa,True,wave,legacy,functional_only,803,2.1405342005651224,five_state_including_validated_death
klosa,True,wave,legacy,joint,1871,4.987471344031562,five_state_including_validated_death
klosa,True,wave,legacy,unimpaired,26325,70.17380178066855,five_state_including_validated_death
mhas,True,wave,legacy,cognitive_only,17224,24.101982844269063,five_state_including_validated_death
mhas,True,wave,legacy,death,5415,7.577347718399731,five_state_including_validated_death
mhas,True,wave,legacy,functional_only,3153,4.412073380630536,five_state_including_validated_death
mhas,True,wave,legacy,joint,4460,6.240991841932189,five_state_including_validated_death
mhas,True,wave,legacy,unimpaired,41211,57.66760421476848,five_state_including_validated_death
share,True,wave,legacy,cognitive_only,58474,22.992112361494485,five_state_including_validated_death
share,True,wave,legacy,death,13584,5.341260292070682,five_state_including_validated_death
share,True,wave,legacy,functional_only,7237,2.8456051776881277,five_state_including_validated_death
share,True,wave,legacy,joint,11847,4.658267865147333,five_state_including_validated_death
share,True,wave,legacy,unimpaired,163180,64.16275430359937,five_state_including_validated_death
charls,True,wave,legacy,cognitive_only,16025,24.268536467167433,living_domain_states_with_validated_death_endpoint
charls,True,wave,legacy,functional_only,3905,5.913799370002423,living_domain_states_with_validated_death_endpoint
charls,True,wave,legacy,joint,4257,6.446874242791374,living_domain_states_with_validated_death_endpoint
charls,True,wave,legacy,unimpaired,41845,63.37078992003877,living_domain_states_with_validated_death_endpoint
elsa,False,wave,legacy,cognitive_only,15398,18.051159410095895,living_domain_states_mortality_endpoint_unavailable
elsa,False,wave,legacy,functional_only,7309,8.568380577243207,living_domain_states_mortality_endpoint_unavailable
elsa,False,wave,legacy,joint,5620,6.588356662211906,living_domain_states_mortality_endpoint_unavailable
